,Screen Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
128,CBS,Sat Apr 07 19:35:08 +0000 2018,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k,0.67,0.183,0.0,0.817,30
129,CBS,Sat Apr 07 18:28:03 +0000 2018,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H,0.0,0.0,0.0,1.0,31
130,CBS,Sat Apr 07 16:30:02 +0000 2018,What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn,0.361,0.106,0.0,0.894,32
131,CBS,Sat Apr 07 15:31:12 +0000 2018,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7",0.0,0.0,0.0,1.0,33
132,CBS,Fri Apr 06 21:10:18 +0000 2018,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX,0.0,0.0,0.0,1.0,34
133,CBS,Fri Apr 06 17:00:00 +0000 2018,What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e,0.0,0.0,0.0,1.0,35
134,CBS,Fri Apr 06 13:45:00 +0000 2018,Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM,0.0,0.0,0.0,1.0,36
135,CBS,Thu Apr 05 21:44:00 +0000 2018,How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa,0.586,0.194,0.0,0.806,37
136,CBS,Thu Apr 05 19:07:48 +0000 2018,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh",0.66,0.241,0.0,0.759,38
137,CBS,Thu Apr 05 17:00:00 +0000 2018,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton J… https://t.co/bqse7nhkV3",-0.388,0.074,0.157,0.769,39
138,CBS,Wed Apr 04 22:07:01 +0000 2018,Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dro… https://t.co/cilUdkKtjQ,0.807,0.313,0.0,0.687,40
139,CBS,Wed Apr 04 21:48:07 +0000 2018,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! ?

Introducing Laughing To Pieces! Foll…",0.757,0.288,0.0,0.712,41
140,CBS,Wed Apr 04 21:47:26 +0000 2018,"RT @YoungSheldon: Don't miss guest star @Followtheblonde in tomorrow's all-new #YoungSheldon! Trust us, you're going to love every minute.…",0.85,0.366,0.0,0.634,42
141,CBS,Wed Apr 04 21:46:13 +0000 2018,RT @MomCBS: Tomorrow's episode of #Mom is going to be a doggone good one! https://t.co/e1WI3uOxVg,0.493,0.197,0.0,0.803,43
142,CBS,Wed Apr 04 21:44:17 +0000 2018,RT @survivorcbs: There's a lot at stake when competing for actual steak. Get a glimpse at an all-new #Survivor: Ghost Island at 8/7c on CBS…,-0.318,0.0,0.095,0.905,44
